Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Aplicaciones I - Clase,2026-05-29,18:00,2026-05-29,20:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
Aplicaciones I - Clase,2026-06-05,18:00,2026-06-05,20:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
Aplicaciones I - Clase,2026-06-12,18:00,2026-06-12,20:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
Aplicaciones I - Clase,2026-06-19,18:00,2026-06-19,20:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
Aplicaciones I - Clase,2026-06-26,18:00,2026-06-26,20:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle

Investigación I - Clase,2026-02-03,18:00,2026-02-03,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle
Investigación I - Clase,2026-02-17,18:00,2026-02-17,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle
Investigación I - Clase,2026-03-03,18:00,2026-03-03,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle
Investigación I - Clase,2026-03-17,18:00,2026-03-17,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle
Investigación I - Clase,2026-03-31,18:00,2026-03-31,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle
Investigación I - Clase,2026-05-05,18:00,2026-05-05,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle
Investigación I - Clase,2026-05-19,18:00,2026-05-19,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle
Investigación I - Clase,2026-06-02,18:00,2026-06-02,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle
Investigación I - Clase,2026-06-09,18:00,2026-06-09,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle
Investigación I - Clase,2026-06-16,18:00,2026-06-16,20:00,False,Docente: Karla Sánchez Mojica | Maestría IA 2026-1,Universidad de La Salle

Electiva Python IA - Clase,2026-02-07,09:00,2026-02-07,11:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
Electiva Python IA - Clase,2026-02-21,09:00,2026-02-21,11:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
Electiva Python IA - Clase,2026-03-07,09:00,2026-03-07,11:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
Electiva Python IA - Clase,2026-04-11,09:00,2026-04-11,11:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
Electiva Python IA - Clase,2026-04-25,09:00,2026-04-25,11:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
Electiva Python IA - Clase,2026-05-09,09:00,2026-05-09,11:00,False,Docente: Cristian Bermúdez | Maestría IA 2026-1,Universidad de La Salle
